,n,m,method,TimeSingleCPU,TimeMultiCPUs,dist:multiCPU(dij)==singleCPU(dij)?,singleCPU_time_cost/multiCPUs(8 cores)_time_cost
0,100,100,dij,0.4671,0.3257,TRUE,1.434141848
1,100,200,dij,0.412,0.34,TRUE,1.211764706
2,100,400,dij,0.5458,0.4754,TRUE,1.148085822
3,100,800,dij,0.7257,0.713,TRUE,1.017812062
4,100,1600,dij,1.0317,1.182,TRUE,0.87284264
5,100,3200,dij,1.5121,2.0412,TRUE,0.740789732
6,100,6400,dij,2.2604,3.7433,TRUE,0.603852216
7,100,12800,dij,3.7315,7.0655,TRUE,0.528129644
8,100,25600,dij,6.5087,13.7462,TRUE,0.473490856
9,100,51200,dij,11.9814,27.1577,TRUE,0.441178745
10,200,200,dij,1.2914,0.6799,TRUE,1.89939697
11,200,400,dij,1.6177,0.9814,TRUE,1.648359486
12,200,800,dij,2.2044,1.5353,TRUE,1.435810591
13,200,1600,dij,3.006,2.5397,TRUE,1.183604363
14,200,3200,dij,4.2225,4.3755,TRUE,0.965032568
15,200,6400,dij,6.0158,7.8522,TRUE,0.766129238
16,200,12800,dij,8.9653,14.6437,TRUE,0.61222915
17,200,25600,dij,14.8534,27.8221,TRUE,0.533870556
18,200,51200,dij,25.9828,54.6647,TRUE,0.475312222
19,200,102400,dij,48.135,107.6063,TRUE,0.44732511
20,400,400,dij,5.1685,2.3045,TRUE,2.242785854
21,400,800,dij,6.6486,3.5531,TRUE,1.871211055
22,400,1600,dij,8.7982,5.8043,TRUE,1.515807246
23,400,3200,dij,12.2397,9.8782,TRUE,1.239061772
24,400,6400,dij,16.7892,17.1569,TRUE,0.978568389
25,400,12800,dij,24.3632,31.2514,TRUE,0.779587474
26,400,25600,dij,37.2539,58.1102,TRUE,0.641090549
27,400,51200,dij,61.0346,111.6863,TRUE,0.546482424
28,400,102400,dij,106.6826,218.1263,TRUE,0.489086369
29,400,204800,dij,197.6347,428.8961,TRUE,0.460798548
30,800,800,dij,21.1114,8.713,TRUE,2.422977161
31,800,1600,dij,27.1136,13.6431,TRUE,1.987348916
32,800,3200,dij,36.7544,22.776,TRUE,1.613733755
33,800,6400,dij,50.0574,38.7616,TRUE,1.291417279
34,800,12800,dij,68.9899,67.9546,TRUE,1.015235172
35,800,25600,dij,100.3073,124.5206,TRUE,0.805547837
36,800,51200,dij,150.5717,232.8897,TRUE,0.646536536
37,800,102400,dij,245.6462,447.3874,TRUE,0.549068212
38,800,204800,dij,430.3895,873.0513,TRUE,0.492971604
39,800,409600,dij,786.0958,1717.8864,TRUE,0.457594751
40,1600,1600,dij,84.9125,34.2411,TRUE,2.479841477
41,1600,3200,dij,109.4758,54.043,TRUE,2.025716559
42,1600,6400,dij,146.7118,90.5284,TRUE,1.620616293
43,1600,12800,dij,199.4738,155.2019,TRUE,1.285253595
44,1600,25600,dij,277.6388,272.6378,TRUE,1.018343018
45,1600,51200,dij,397.5071,496.7131,TRUE,0.800275048
46,1600,102400,dij,603.6019,930.3402,TRUE,0.648796967
47,1600,204800,dij,993.1634,1792.0474,TRUE,0.554205988
48,1600,409600,dij,1721.6106,3490.1286,TRUE,0.49327999
49,1600,819200,dij,3170.3717,6899.7762,TRUE,0.459489063
50,3200,3200,dij,340.7242,135.942,TRUE,2.506393903
51,3200,6400,dij,442.6022,215.5735,TRUE,2.053138257
52,3200,12800,dij,600.4743,364.8383,TRUE,1.645864209
53,3200,25600,dij,813.9423,623.9894,TRUE,1.30441687
54,3200,51200,dij,1118.6828,1089.7926,TRUE,1.026509815
55,3200,102400,dij,1597.5955,1988.2266,TRUE,0.803527878
56,3200,204800,dij,2428.2555,3735.6951,TRUE,0.650014371
57,3200,409600,dij,3950.6824,7163.8583,TRUE,0.551474113
58,3200,819200,dij,6878.0053,13955.7313,TRUE,0.492844492
59,3200,1638400,dij,13331.9103,27681.5094,TRUE,0.481617895
60,6400,6400,dij,1388.6375,546.1505,TRUE,2.542591282
61,6400,12800,dij,1796.1967,870.5075,TRUE,2.063390264
62,6400,25600,dij,2381.0867,1462.0269,TRUE,1.628620308
63,6400,51200,dij,3261.7161,2512.5924,TRUE,1.298147722
64,6400,102400,dij,4467.3829,4411.2143,TRUE,1.012733138
65,6400,204800,dij,6341.3716,7992.4024,TRUE,0.793424966
66,6400,409600,dij,9758.9027,15244.0222,TRUE,0.640178988
67,6400,819200,dij,15978.3176,28872.6261,TRUE,0.553407146
68,6400,1638400,dij,27705.4312,56587.9216,TRUE,0.489599731
69,6400,3276800,dij,54080.5928,112336.6092,TRUE,0.48141557
70,12800,12800,dij,6005.9755,2232.7154,TRUE,2.689987044
71,12800,25600,dij,7815.7507,3568.1207,TRUE,2.190438989
72,12800,51200,dij,10537.8675,5991.2244,TRUE,1.758883793
73,12800,102400,dij,14504.4156,10284.5263,TRUE,1.410314406
74,12800,204800,dij,20064.6117,18045.9733,TRUE,1.111860877
